sample	PC1	PC2	ancestry
CPCT02020401	-3.43229887518452	0.38159128380257	hartwig
CPCT02020407	-2.588382259702	1.39511281712065	hartwig
CPCT02020436	-3.39510737284131	1.29295656003727	hartwig
CPCT02020441	-2.75872829249897	0.783516218773052	hartwig
CPCT02020475	-3.21091139060788	1.08323840688813	hartwig
CPCT02020478	-3.75729051957808	0.68446372045777	hartwig
CPCT02020487	-2.66801859640809	1.22305028587032	hartwig
CPCT02020490	-3.70431166375684	0.619787657578224	hartwig
CPCT02020493	-3.34856494306163	1.25682918132895	hartwig
CPCT02020508	-1.319671074908	0.311713891751295	hartwig
CPCT02020514	8.67556906942325	2.53742185021701	hartwig
CPCT02020539	-3.55121504695328	-0.266117337452185	hartwig
CPCT02020541	-3.34719611854407	-0.176373368445533	hartwig
CPCT02020545	-3.35775941300635	0.920876683801742	hartwig
CPCT02020561	-3.44878063076307	1.4001469453162	hartwig
CPCT02020591	0.224773659117397	1.12470724195456	hartwig
CPCT02020597	1.0666335694914	-1.41527268130729	hartwig
CPCT02020599	-2.42375213178774	0.0715542137218134	hartwig
CPCT02020617	2.52902393394932	1.28274719982469	hartwig
CPCT02020635	-2.70753028957246	0.978029346966566	hartwig
CPCT02020637	-3.35563774469158	0.870334346192374	hartwig
CPCT02020664	-3.5174303019563	0.473398037810095	hartwig
CPCT02020666	-3.48160176382397	0.588690929832497	hartwig
CPCT02020680	2.93147993237255	-0.893900428131412	hartwig
CPCT02020685	-4.26398901171712	0.199656616651107	hartwig
CPCT02020688	-3.29262957180927	-0.0347943428427801	hartwig
CPCT02020692	-3.52005615842608	1.4775906273468	hartwig
CPCT02020693	-2.8133287292247	0.150243345156421	hartwig
CPCT02020711	-3.44170955638613	1.22475412008057	hartwig
CPCT02020719	-2.68956576389682	0.441795869961675	hartwig
CPCT02020721	1.98453752458856	1.24774947796771	hartwig
CPCT02020744	-3.23771150981002	0.118506889340977	hartwig
CPCT02020773	-3.22336170860301	0.422113868780287	hartwig
CPCT02020791	-2.2507724372524	0.038227755108557	hartwig
CPCT02020795	-2.92141826743467	0.937910742604709	hartwig
CPCT02020801	-3.28028105762308	-0.0918385308816522	hartwig
CPCT02020807	-3.89219597556129	0.58444134851568	hartwig
CPCT02020824	-3.64019095528319	0.592383860528694	hartwig
CPCT02020829	-3.42958243816801	0.354103692215057	hartwig
CPCT02020830	-3.7144180868892	0.975855838619821	hartwig
CPCT02020857	-3.42970290294798	0.740286523131745	hartwig
CPCT02020898	-3.55514942238306	0.309209384773518	hartwig
CPCT02020946	-2.38312685179569	0.895270418422405	hartwig
CPCT02020966	3.37326935071188	-4.3457820991145	hartwig
CPCT02020969	-2.58104536619399	0.74123818239085	hartwig
CPCT02030220	-2.81129451834347	0.416584995176423	hartwig
CPCT02030224	-3.54588225764531	1.1945526634051	hartwig
CPCT02030233	-3.03651917643007	0.391482676951857	hartwig
CPCT02030237	-3.71594420482299	-0.101618316179386	hartwig
CPCT02030242	-4.92709032061606	0.53256961941197	hartwig
CPCT02030258	-3.7323235385296	-1.10641398997266	hartwig
CPCT02030261	-2.4820891343598	-0.167458620809362	hartwig
CPCT02030264	-2.73156973228052	0.428311141191399	hartwig
CPCT02030265	1.44706920827768	-2.79732353533584	hartwig
CPCT02030271	-3.90598649077716	0.82307102545592	hartwig
CPCT02030274	-3.63097608186491	0.497779364799	hartwig
CPCT02030276	-3.80881007818332	1.11702695454523	hartwig
CPCT02030289	-4.29375935617479	0.749331134631214	hartwig
CPCT02030305	-3.134296633605	0.49125979771712	hartwig
CPCT02030329	-2.61924208118714	0.36378811667143	hartwig
CPCT02030337	-3.62408788501068	0.51690670875727	hartwig
CPCT02030340	-2.85620881442062	0.638309012400956	hartwig
CPCT02030367	-3.82958927130027	1.5032829190636	hartwig
CPCT02030383	3.32585209156959	1.90522247119402	hartwig
CPCT02030384	-3.81029565515748	0.877282814442555	hartwig
CPCT02030394	-3.40703979521851	0.534330999769742	hartwig
CPCT02030428	-3.25485756906533	0.292000677584154	hartwig
CPCT02030447	-4.2238975876566	0.865036239453391	hartwig
CPCT02030448	-3.15729826166311	0.633323660024775	hartwig
CPCT02030451	-4.45430420763093	0.979968665611065	hartwig
CPCT02030463	-2.02714949822204	0.466647916500357	hartwig
CPCT02030464	-2.15437692404026	0.337190211505323	hartwig
CPCT02030472	-1.72725045538035	0.411385711563504	hartwig
CPCT02030478	-3.30119360699142	0.16157160232838	hartwig
CPCT02030484	-3.28137372900115	1.06388561592349	hartwig
CPCT02030500	-3.08586863856118	-0.360469931939583	hartwig
CPCT02030521	-3.05493272646268	0.43615645031348	hartwig
CPCT02030522	-2.6115602782905	0.521013353666959	hartwig
CPCT02030549	-1.91230890237642	-1.56485862091873	hartwig
CPCT02030550	-3.79356009747362	1.09417641831457	hartwig
CPCT02040008	-3.87499251861232	-0.229088120802923	hartwig
CPCT02040013	-3.81653982214737	0.843395095829669	hartwig
CPCT02040017	-2.66560366422841	0.533036071369564	hartwig
CPCT02040031	-3.23687300887781	1.15108286905131	hartwig
CPCT02040035	-3.67277093223753	0.248358848843608	hartwig
CPCT02040036	-3.12540681767964	-0.130816282421555	hartwig
CPCT02040047	-3.10313195889091	0.497376192684604	hartwig
CPCT02040055	-3.53909205398076	0.862182903899138	hartwig
CPCT02040069	-2.57281920548019	0.340780026588828	hartwig
CPCT02040070	-4.19051587457263	0.166383703211396	hartwig
CPCT02040071	1.44706920827768	-2.79732353533584	hartwig
CPCT02040078	-3.87411834529703	0.632405535188138	hartwig
CPCT02040086	-3.87138327635068	0.551411957350675	hartwig
CPCT02040097	-2.88079308701668	-0.176701620768702	hartwig
CPCT02040114	-2.69464162809273	1.09643714368732	hartwig
CPCT02040123	-3.10345998566697	0.772215914018375	hartwig
CPCT02040134	-3.61447857917456	0.239378167257648	hartwig
CPCT02040138	-3.90719847909273	0.000217598373486092	hartwig
CPCT02040145	-3.80949914782208	0.4015414460408	hartwig
CPCT02040160	-2.34954919825526	1.78270687222318	hartwig
CPCT02040191	-3.21743134231821	0.165424479978634	hartwig
CPCT02040207	-4.09577212263688	1.46158767410923	hartwig
CPCT02040219	-3.45202954501702	0.937033389989047	hartwig
CPCT02040230	-2.67181231910398	1.09208155357289	hartwig
CPCT02040235	-3.45232414425594	0.847504150493969	hartwig
CPCT02040254	-3.34314294123951	0.699099332751377	hartwig
CPCT02040257	-3.54744400956899	1.1530942673579	hartwig
CPCT02040266	-3.42620821988276	0.212590372113713	hartwig
CPCT02040267	-2.40674644359425	0.82646475165548	hartwig
CPCT02040282	-0.530904950676255	1.00938554803438	hartwig
CPCT02040290	-2.48395817939961	0.771788505172916	hartwig
CPCT02040291	-3.51076791048436	0.0508589483196606	hartwig
CPCT02040306	-3.0289320071703	-0.326321320207457	hartwig
CPCT02040307	-3.42587429393994	-0.538989858939449	hartwig
CPCT02040321	2.19174821179767	0.359546063678827	hartwig
CPCT02040323	-3.73899733262845	0.957120340530401	hartwig
CPCT02040325	-3.72704786596557	0.926993544125373	hartwig
