sample	PC1	PC2	ancestry
CURTIS_H000493_N01_01_WG01	-2.97716156958608	-0.21367146554383	ICGC
CURTIS_H000494_N01_01_WG01	-3.50866364140014	0.805500300498535	ICGC
CURTIS_H000495_N01_01_WG01	-3.12763287962154	0.796395456865961	ICGC
CURTIS_H000496_N01_01_WG01	-3.60449037844949	0.727302432414332	ICGC
CURTIS_H000497_N01_01_WG01	4.88835612889071	1.44579114389675	ICGC
CURTIS_H000498_N01_01_WG01	-3.57488430804041	0.670589747932476	ICGC
CURTIS_H000499_N01_01_WG01	-3.37385477988533	-0.0475232747286811	ICGC
CURTIS_H000500_N01_01_WG01	-1.76425161713595	0.232229002755169	ICGC
CURTIS_H000501_N01_01_WG01	-0.307509715074465	-3.12924828301023	ICGC
CURTIS_H000502_N01_01_WG01	-3.75827698065296	0.757021342809854	ICGC
CURTIS_H000503_N01_01_WG01	-3.17494848814402	0.141284019282186	ICGC
CURTIS_H000504_N01_01_WG01	-2.23567147077	0.560035206039936	ICGC
CURTIS_H000505_N01_01_WG01	-2.81422124713406	0.332875331490311	ICGC
CURTIS_H000506_N01_01_WG01	-3.91293077354676	0.788691592457062	ICGC
CURTIS_H000507_N01_01_WG01	-3.74962638523182	1.41565900084534	ICGC
CURTIS_H000508_N01_01_WG01	-2.85185418584431	0.495271045534638	ICGC
CURTIS_H000509_N01_01_WG01	-2.38305056512125	-0.107101632117956	ICGC
CURTIS_H000510_N01_01_WG01	1.61671978373132	-4.60287166029194	ICGC
CURTIS_H000511_N01_01_WG01	1.04473902055391	-4.1742022373722	ICGC
CURTIS_H000512_N01_01_WG01	-2.08887762561468	-0.452767358697396	ICGC
CURTIS_H000513_N01_01_WG01	0.446235198139683	-4.58232953530909	ICGC
CURTIS_H000514_N01_01_WG01	-2.68779328762853	1.3176860449466	ICGC
CURTIS_H000515_N01_01_WG01	-2.61187608800753	0.193206072049852	ICGC
CURTIS_H000516_N01_01_WG01	-2.35465157354661	1.2225268627107	ICGC
